2 100 0 1 101
0.0 0.0 0.00
0.1 1.0 2.10
0.2 2.0 4.20
0.3 3.0 6.30
0.4 4.0 8.40
0.5 5.0 10.50
0.6 6.0 12.60
0.7 7.0 14.70
0.8 8.0 16.80
0.9 9.0 18.90
1.0 0.1 1.20
1.1 1.1 3.30
1.2 2.1 5.40
1.3 3.1 7.50
1.4 4.1 9.60
1.5 5.1 11.70
1.6 6.1 13.80
1.7 7.1 15.90
1.8 8.1 18.00
1.9 9.1 20.10
2.0 0.2 2.40
2.1 1.2 4.50
2.2 2.2 6.60
2.3 3.2 8.70
2.4 4.2 10.80
2.5 5.2 12.90
2.6 6.2 15.00
2.7 7.2 17.10
2.8 8.2 19.20
2.9 9.2 21.30
3.0 0.3 3.60
3.1 1.3 5.70
3.2 2.3 7.80
3.3 3.3 9.90
3.4 4.3 12.00
3.5 5.3 14.10
3.6 6.3 16.20
3.7 7.3 18.30
3.8 8.3 20.40
3.9 9.3 22.50
4.0 0.4 4.80
4.1 1.4 6.90
4.2 2.4 9.00
4.3 3.4 11.10
4.4 4.4 13.20
4.5 5.4 15.30
4.6 6.4 17.40
4.7 7.4 19.50
4.8 8.4 21.60
4.9 9.4 23.70
5.0 0.5 6.00
5.1 1.5 8.10
5.2 2.5 10.20
5.3 3.5 12.30
5.4 4.5 14.40
5.5 5.5 16.50
5.6 6.5 18.60
5.7 7.5 20.70
5.8 8.5 22.80
5.9 9.5 24.90
6.0 0.6 7.20
6.1 1.6 9.30
6.2 2.6 11.40
6.3 3.6 13.50
6.4 4.6 15.60
6.5 5.6 17.70
6.6 6.6 19.80
6.7 7.6 21.90
6.8 8.6 24.00
6.9 9.6 26.10
7.0 0.7 8.40
7.1 1.7 10.50
7.2 2.7 12.60
7.3 3.7 14.70
7.4 4.7 16.80
7.5 5.7 18.90
7.6 6.7 21.00
7.7 7.7 23.10
7.8 8.7 25.20
7.9 9.7 27.30
8.0 0.8 9.60
8.1 1.8 11.70
8.2 2.8 13.80
8.3 3.8 15.90
8.4 4.8 18.00
8.5 5.8 20.10
8.6 6.8 22.20
8.7 7.8 24.30
8.8 8.8 26.40
8.9 9.8 28.50
9.0 0.9 10.80
9.1 1.9 12.90
9.2 2.9 15.00
9.3 3.9 17.10
9.4 4.9 19.20
9.5 5.9 21.30
9.6 6.9 23.40
9.7 7.9 25.50
9.8 8.9 27.60
9.9 9.9 29.70
10.0 0.10 10.20
