2 100 -3.14 3.14 101
0.0 0.0 1.00
0.1 1.0 1.04
0.2 2.0 1.08
0.3 3.0 1.10
0.4 4.0 1.12
0.5 5.0 1.12
0.6 6.0 1.12
0.7 7.0 1.11
0.8 8.0 1.09
0.9 9.0 1.06
1.0 0.1 1.02
1.1 1.1 0.98
1.2 2.1 0.93
1.3 3.1 0.87
1.4 4.1 0.81
1.5 5.1 0.75
1.6 6.1 0.69
1.7 7.1 0.62
1.8 8.1 0.56
1.9 9.1 0.49
2.0 0.2 0.43
2.1 1.2 0.36
2.2 2.2 0.30
2.3 3.2 0.25
2.4 4.2 0.19
2.5 5.2 0.15
2.6 6.2 0.11
2.7 7.2 0.07
2.8 8.2 0.04
2.9 9.2 0.02
3.0 0.3 0.01
3.1 1.3 0.00
3.2 2.3 0.00
3.3 3.3 0.01
3.4 4.3 0.02
3.5 5.3 0.05
3.6 6.3 0.08
3.7 7.3 0.11
3.8 8.3 0.16
3.9 9.3 0.20
4.0 0.4 0.26
4.1 1.4 0.31
4.2 2.4 0.37
4.3 3.4 0.44
4.4 4.4 0.50
4.5 5.4 0.57
4.6 6.4 0.63
4.7 7.4 0.70
4.8 8.4 0.76
4.9 9.4 0.82
5.0 0.5 0.88
5.1 1.5 0.94
5.2 2.5 0.98
5.3 3.5 1.03
5.4 4.5 1.06
5.5 5.5 1.09
5.6 6.5 1.11
5.7 7.5 1.12
5.8 8.5 1.12
5.9 9.5 1.12
6.0 0.6 1.10
6.1 1.6 1.07
6.2 2.6 1.04
6.3 3.6 0.99
6.4 4.6 0.93
6.5 5.6 0.87
6.6 6.6 0.79
6.7 7.6 0.71
6.8 8.6 0.61
6.9 9.6 0.51
7.0 0.7 0.40
7.1 1.7 0.29
7.2 2.7 0.17
7.3 3.7 0.04
7.4 4.7 -0.09
7.5 5.7 -0.22
7.6 6.7 -0.36
7.7 7.7 -0.50
7.8 8.7 -0.63
7.9 9.7 -0.77
8.0 0.8 -0.90
8.1 1.8 -1.03
8.2 2.8 -1.16
8.3 3.8 -1.28
8.4 4.8 -1.39
8.5 5.8 -1.50
8.6 6.8 -1.59
8.7 7.8 -1.68
8.8 8.8 -1.76
8.9 9.8 -1.83
9.0 0.9 -1.89
9.1 1.9 -1.93
9.2 2.9 -1.97
9.3 3.9 -1.99
9.4 4.9 -2.00
9.5 5.9 -2.00
9.6 6.9 -1.98
9.7 7.9 -1.95
9.8 8.9 -1.91
9.9 9.9 -1.86
10.0 0.10 -1.80
