1 100 0 4 101
0.0 0.00
0.1 0.19
0.2 0.36
0.3 0.52
0.4 0.67
0.5 0.81
0.6 0.94
0.7 1.06
0.8 1.18
0.9 1.28
1.0 1.39
1.1 1.48
1.2 1.58
1.3 1.67
1.4 1.75
1.5 1.83
1.6 1.91
1.7 1.99
1.8 2.06
1.9 2.13
2.0 2.20
2.1 2.26
2.2 2.33
2.3 2.39
2.4 2.45
2.5 2.51
2.6 2.56
2.7 2.62
2.8 2.67
2.9 2.72
3.0 2.77
3.1 2.82
3.2 2.87
3.3 2.92
3.4 2.96
3.5 3.01
3.6 3.05
3.7 3.10
3.8 3.14
3.9 3.18
4.0 3.22
4.1 3.26
4.2 3.30
4.3 3.34
4.4 3.37
4.5 3.41
4.6 3.45
4.7 3.48
4.8 3.52
4.9 3.55
5.0 3.58
5.1 3.62
5.2 3.65
5.3 3.68
5.4 3.71
5.5 3.74
5.6 3.77
5.7 3.80
5.8 3.83
5.9 3.86
6.0 3.89
6.1 3.92
6.2 3.95
6.3 3.98
6.4 4.00
6.5 4.03
6.6 4.06
6.7 4.08
6.8 4.11
6.9 4.13
7.0 4.16
7.1 4.18
7.2 4.21
7.3 4.23
7.4 4.26
7.5 4.28
7.6 4.30
7.7 4.33
7.8 4.35
7.9 4.37
8.0 4.39
8.1 4.42
8.2 4.44
8.3 4.46
8.4 4.48
8.5 4.50
8.6 4.52
8.7 4.54
8.8 4.56
8.9 4.59
9.0 4.61
9.1 4.63
9.2 4.64
9.3 4.66
9.4 4.68
9.5 4.70
9.6 4.72
9.7 4.74
9.8 4.76
9.9 4.78
10.0 4.80
