1 100 -10 10 101
0.0 0.00
0.1 0.29
0.2 0.56
0.3 0.85
0.4 1.20
0.5 1.62
0.6 2.16
0.7 2.83
0.8 3.68
0.9 4.73
1.0 6.00
1.1 7.54
1.2 9.36
1.3 11.50
1.4 14.00
1.5 16.88
1.6 20.16
1.7 23.88
1.8 28.08
1.9 32.77
2.0 38.00
2.1 43.79
2.2 50.16
2.3 57.15
2.4 64.80
2.5 73.12
2.6 82.16
2.7 91.94
2.8 102.48
2.9 113.83
3.0 126.00
3.1 139.04
3.2 152.96
3.3 167.81
3.4 183.60
3.5 200.38
3.6 218.16
3.7 236.99
3.8 256.88
3.9 277.87
4.0 300.00
4.1 323.28
4.2 347.76
4.3 373.45
4.4 400.40
4.5 428.62
4.6 458.16
4.7 489.04
4.8 521.28
4.9 554.93
5.0 590.00
5.1 626.53
5.2 664.56
5.3 704.10
5.4 745.20
5.5 787.88
5.6 832.16
5.7 878.09
5.8 925.68
5.9 974.98
6.0 1026.00
6.1 1078.78
6.2 1133.36
6.3 1189.76
6.4 1248.00
6.5 1308.12
6.6 1370.16
6.7 1434.13
6.8 1500.08
6.9 1568.03
7.0 1638.00
7.1 1710.03
7.2 1784.16
7.3 1860.41
7.4 1938.80
7.5 2019.38
7.6 2102.16
7.7 2187.18
7.8 2274.48
7.9 2364.07
8.0 2456.00
8.1 2550.28
8.2 2646.96
8.3 2746.06
8.4 2847.60
8.5 2951.62
8.6 3058.16
8.7 3167.23
8.8 3278.88
8.9 3393.12
9.0 3510.00
9.1 3629.53
9.2 3751.76
9.3 3876.71
9.4 4004.40
9.5 4134.88
9.6 4268.16
9.7 4404.28
9.8 4543.28
9.9 4685.18
10.0 4830.00
